,ids,exp
932,2530,2
933,2116,1
934,1063,3
935,1712,3
936,381,1
937,1036,1
938,1465,1
939,3882,1
940,545,1
941,1809,2
942,1648,2
943,1,2
944,1594,1
945,3015,1
946,2972,1
947,1861,3
948,3301,1
949,3917,1
950,2754,1
951,442,1
952,2686,2
953,1413,2
954,3297,1
955,604,3
956,3927,1
957,1092,1
958,649,1
959,1240,1
960,2906,1
961,2084,2
962,1013,1
963,2975,1
964,2362,1
965,2180,1
966,3791,1
967,2286,1
968,3537,1
969,2003,1
970,1613,1
971,3317,1
972,299,2
973,3798,1
974,908,1
975,3733,1
976,2181,1
977,1262,1
978,26,1
979,408,1
980,2659,1
981,1882,1
982,1549,1
983,2826,2
984,2757,1
985,532,2
986,3070,1
987,1358,1
988,1265,1
989,3750,1
990,2770,1
991,541,1
992,3685,1
993,3524,1
994,3507,1
995,382,1
996,326,1
997,2012,1
998,2358,1
999,1958,2
1000,2527,1
