,ids,exp
975,1654,3
976,1982,7
977,2450,2
978,2258,3
979,496,12
980,2356,1
981,2004,15
982,1380,4
983,1202,10
984,3840,17
985,3250,14
986,3825,4
987,3753,4
988,167,8
989,1222,16
990,2595,4
991,2529,7
992,61,10
993,2655,2
994,3487,2
995,3339,4
996,3695,1
997,1923,2
998,2158,2
999,3343,1
1000,1778,13
1001,1589,2
1002,1421,5
1003,798,4
1004,890,8
1005,2717,6
1006,2701,4
1007,3034,15
1008,1100,42
1009,1147,26
1010,3951,6
1011,1593,4
1012,2541,10
1013,430,6
1014,3358,4
1015,5,30
1016,2373,6
1017,2401,10
1018,2467,4
1019,2727,8
1020,1146,1
1021,3112,18
1022,3366,1
1023,1943,16
1024,1007,3
1025,1834,10
1026,1286,42
1027,747,8
1028,1768,4
1029,1591,9
1030,2374,19
1031,2792,8
1032,1956,33
1033,2312,6
1034,2538,12
1035,493,7
1036,785,13
1037,3189,5
1038,3224,2
1039,3533,21
1040,1273,12
1041,1263,8
1042,1185,12
1043,3010,2
1044,1410,4
1045,1406,52
1046,492,3
1047,610,4
1048,176,10
1049,1395,23
1050,3613,11
1051,2780,3
1052,68,16
1053,465,14
1054,3452,4
1055,3324,10
1056,1200,22
1057,3500,6
1058,831,22
1059,694,1
1060,1068,11
1061,3924,4
1062,1067,5
1063,1917,31
1064,1437,8
1065,865,17
1066,2402,3
1067,3086,10
1068,1634,24
1069,2121,8
1070,2512,27
1071,1990,8
1072,2827,2
1073,2447,4
1074,2149,13
1075,2730,4
1076,904,6
1077,3253,11
1078,2545,3
1079,1265,14
1080,2665,3
1081,2768,10
1082,3864,15
1083,3948,5
1084,3908,4
1085,3878,1
1086,3508,6
1087,3946,5
1088,1587,7
1089,354,10
1090,2087,3
1091,1682,19
1092,490,7
1093,1884,19
1094,2747,14
1095,2521,7
1096,3701,49
1097,3440,12
1098,546,3
1099,531,4
1100,1478,19
1101,1615,2
1102,203,8
1103,1875,47
1104,2532,9
1105,2612,6
1106,2517,7
1107,2462,11
1108,1193,3
1109,952,7
1110,3682,10
1111,2359,5
1112,2676,2
1113,1236,5
1114,3264,2
1115,3623,26
1116,3100,13
1117,1341,11
1118,2899,3
1119,3200,6
1120,3197,5
1121,3065,6
1122,1934,7
1123,2611,10
1124,1024,5
1125,2584,1
1126,3879,7
1127,3894,3
1128,3945,7
1129,3674,5
1130,3460,1
1131,1300,4
1132,2525,1
1133,2090,1
1134,2045,7
1135,2364,1
1136,1881,13
1137,2524,3
1138,235,12
1139,1613,12
1140,3477,4
1141,2449,20
1142,454,14
1143,1151,8
1144,3363,3
1145,2014,8
1146,144,6
1147,1847,3
1148,3205,8
1149,3845,8
1150,3788,5
1151,3714,2
1152,3757,1
1153,106,6
1154,2202,14
1155,1692,3
1156,1746,38
1157,15,20
1158,3306,2
1159,1602,10
1160,1844,2
1161,3467,14
1162,2974,20
1163,2771,2
1164,1377,7
1165,3928,1
1166,3246,15
1167,1592,4
1168,1585,8
1169,3739,13
1170,3029,18
1171,3933,5
1172,3304,2
1173,3949,8
1174,159,5
1175,3188,12
1176,1882,5
1177,998,7
1178,3271,9
1179,1832,2
1180,1995,11
1181,1986,1
1182,1972,12
1183,2936,9
1184,557,4
1185,1686,8
1186,561,15
1187,507,5
1188,3483,21
1189,2599,7
1190,1787,1
1191,1975,4
1192,1985,4
1193,3895,6
1194,267,4
1195,1256,4
1196,3242,3
1197,3212,1
1198,2089,2
1199,2120,7
1200,2859,3
1201,2906,2
1202,51,7
1203,2118,2
1204,2375,2
1205,1407,2
1206,1959,15
1207,1217,2
1208,3724,1
1209,1387,2
1210,1974,5
1211,2275,6
1212,1128,20
1213,484,24
1214,231,4
1215,1191,1
1216,1833,10
1217,307,1
1218,3018,2
1219,3675,4
1220,2371,6
1221,3617,10
1222,3722,5
