,ids,exp
793,1884,11
794,1786,6
795,296,1
796,2881,12
797,832,3
798,541,15
799,1350,8
800,341,13
801,1319,14
802,2084,4
803,3206,17
804,837,28
805,2173,16
806,426,26
807,2000,3
808,2420,18
809,1241,25
810,3033,12
811,1371,16
812,2728,5
813,890,33
814,1168,13
815,886,34
816,3378,21
817,2744,7
818,2676,5
819,1841,13
820,3548,11
821,2239,4
822,3354,46
823,3541,2
824,3221,7
825,1852,2
826,1926,23
827,3005,5
828,1846,4
829,3405,5
830,3555,36
831,2956,27
832,1833,44
833,1180,38
834,2186,1
835,1953,21
836,1792,25
837,2254,3
838,2185,12
839,2718,9
840,1821,52
841,2530,9
842,3292,11
843,3235,7
844,1032,21
845,1157,12
846,1980,41
847,2983,33
848,364,10
849,210,9
850,350,1
851,2497,2
852,2278,6
853,1054,3
854,3313,2
855,1572,50
856,1414,8
857,1418,3
858,483,8
859,217,3
860,274,4
861,910,7
862,1494,8
863,1,8
864,1014,14
865,1887,3
866,2250,4
867,2325,11
868,3426,7
869,1767,18
870,2399,29
871,3034,3
872,519,3
873,2745,7
874,1441,26
875,1943,19
876,1824,7
877,2828,1
878,796,11
879,421,9
880,1459,8
881,3462,31
882,2788,23
883,3178,83
884,3277,96
885,3617,70
886,79,13
887,102,10
888,3091,34
889,3607,7
890,2178,17
891,857,11
892,884,14
893,1150,3
894,2957,29
895,151,5
896,405,2
897,1236,29
898,1741,10
899,3334,3
900,3183,1
901,1775,15
902,1314,4
903,2283,9
904,2610,6
905,2217,14
906,3207,8
907,2183,9
908,2777,6
909,3237,4
910,3282,19
911,5,87
912,517,12
913,2845,7
914,2,17
915,180,6
916,2304,1
917,2664,11
918,688,12
919,1817,20
920,3043,10
921,2704,5
922,155,10
923,3470,5
924,1008,15
925,2888,25
926,1174,8
927,2709,33
928,3458,7
929,2443,2
930,2534,2
931,1949,10
932,2760,5
933,1303,6
934,2087,11
935,2496,41
936,2544,1
937,2220,4
938,500,2
939,1617,8
940,1335,1
941,503,2
942,2179,3
943,2188,1
944,2280,6
945,1128,7
946,2877,3
947,2252,2
948,1889,15
949,3690,3
950,259,6
951,2153,4
952,2807,6
953,1969,5
954,2310,1
955,1873,9
956,2529,32
957,2307,6
958,192,17
959,3412,52
960,2714,9
961,2713,21
962,1191,7
963,850,16
964,861,37
965,3036,45
966,3107,56
967,3568,13
968,844,17
969,2270,10
970,2977,4
971,3173,3
972,1537,30
973,3501,10
974,3633,25
975,2589,8
976,3271,40
977,2683,16
978,3636,11
979,3394,18
980,3599,10
981,2972,5
982,2219,2
983,3328,28
984,1811,11
985,1327,12
986,2696,3
987,3212,9
988,689,17
989,2897,20
990,3474,1
991,230,2
992,1280,2
993,2650,2
994,1169,13
995,2853,7
996,946,1
997,157,13
998,246,32
999,21,4
1000,1962,3
1001,1115,2
1002,2993,1
1003,391,3
1004,1022,56
