,ids,exp
651,2265,64
652,17,109
653,2933,139
654,1911,89
655,3883,87
656,2872,102
657,5655,81
658,2216,64
659,514,20
660,681,2
661,6134,1
662,215,6
663,2040,18
664,5928,5
665,2884,242
666,576,77
667,3087,89
668,1301,14
669,6496,43
670,6387,90
671,6002,83
672,1353,146
673,3253,29
674,2048,306
675,2327,113
676,6149,33
677,5402,91
678,2747,27
679,296,259
680,2607,80
681,2773,51
682,235,34
683,3032,32
684,488,387
685,2183,374
686,5567,244
687,5720,381
688,5635,70
689,1550,539
690,2586,279
691,175,247
692,2511,144
693,4986,331
694,6179,415
695,755,101
696,1739,772
697,3699,31
698,2748,138
699,2030,63
700,4797,59
701,2165,92
702,699,97
703,659,96
704,741,16
705,2916,162
706,3287,114
707,5692,20
708,324,43
709,1864,54
710,5896,14
711,6255,47
712,1399,6
713,348,54
714,4188,67
715,2603,51
716,123,509
717,5198,318
718,5215,86
719,1158,142
720,6080,366
721,501,13
722,3437,643
723,1092,36
724,1837,51
725,26,33
726,6276,22
727,5377,17
728,4898,26
729,3647,55
730,4199,52
731,1416,45
732,1339,35
733,683,8
734,1004,13
735,5150,20
736,5967,14
737,2128,19
738,4493,52
739,3583,23
740,3771,32
741,6118,3
742,2381,41
743,1223,172
744,3163,130
745,5949,640
746,2718,773
747,6368,134
748,4563,135
749,3713,569
750,4085,366
751,5152,168
752,4299,300
753,1794,290
754,2458,276
755,5939,163
756,3523,249
757,5284,161
758,416,427
759,4393,35
760,1620,195
761,5479,881
762,1056,302
763,3092,389
764,3003,15
765,2307,76
766,4965,184
767,4821,229
768,1775,77
769,5636,437
770,992,92
771,4480,253
772,5267,110
773,4416,66
774,4722,161
775,6523,60
776,1640,79
777,3722,46
778,4141,52
779,3689,98
780,784,42
781,1810,147
782,5000,208
783,1469,96
784,1433,8
785,4209,203
786,6579,17
787,2870,81
788,3966,206
789,5979,250
790,1586,42
791,5087,56
792,5332,71
793,5288,158
794,5659,49
795,46,53
796,2951,51
797,753,54
798,1528,31
799,5888,56
800,1824,16
801,2413,24
802,4696,9
803,2949,29
804,4790,43
805,5286,122
806,340,16
807,5891,103
808,676,37
809,6180,101
810,2711,47
811,4777,22
812,6071,44
813,2148,46
814,4712,35
815,172,44
816,5600,39
817,4968,39
818,2588,42
819,2182,35
820,3501,24
821,3454,24
822,2795,217
823,5830,406
824,6526,145
825,2640,365
826,5007,31
827,1693,50
828,2455,39
829,3404,37
830,1935,56
831,3206,60
832,2710,58
833,1256,38
834,2725,22
835,5238,89
836,1981,14
837,621,80
838,1218,47
839,1516,89
840,1949,40
841,4367,17
842,4409,130
843,4324,208
844,614,164
845,1181,242
846,3727,5
847,5363,29
848,2590,521
849,66,241
850,1725,136
851,6324,199
852,6247,47
853,4294,21
854,321,44
855,322,28
856,2583,250
857,3064,55
858,1646,14
859,1632,40
860,4908,214
861,5858,82
862,5505,37
863,5864,41
864,3716,134
865,6325,116
866,6092,323
867,1246,169
868,6318,804
869,1985,39
870,5833,213
871,729,156
872,4539,190
873,5209,980
874,2094,243
875,3831,335
876,428,224
877,4831,109
878,3252,79
879,5691,271
880,1817,632
881,44,506
882,1084,65
883,5298,261
884,2815,269
885,6329,477
886,2720,225
887,4355,177
888,2189,64
889,5617,119
890,5594,79
891,5541,75
892,1443,178
893,2214,21
894,2230,410
895,6381,214
896,2833,112
897,119,438
898,5906,51
899,4337,164
900,2775,16
901,4659,46
902,5654,132
903,981,92
904,1014,110
905,1267,44
906,599,66
907,1744,51
908,2459,51
909,2445,153
910,1108,46
911,3374,64
912,2374,58
913,3969,57
914,2604,101
915,2859,13
916,6553,14
917,4679,44
918,6311,60
919,1648,39
920,773,32
921,5744,56
922,3524,9
923,2219,17
924,3796,46
925,1841,106
926,3214,42
927,3477,22
928,1548,84
929,4972,27
930,5934,10
931,6582,214
932,3320,20
933,641,13
934,2488,46
935,6365,32
936,975,5
937,3075,90
938,2201,39
939,6139,13
940,1456,29
941,6030,8
942,1030,429
943,3176,348
944,4632,634
945,813,560
946,2220,44
947,3549,74
948,2887,104
949,5626,37
950,1770,66
951,1531,37
952,1950,123
953,560,24
954,2885,214
955,3174,104
956,6195,60
957,2757,142
958,4693,58
959,6164,42
960,693,20
961,3827,395
962,2109,211
963,1197,165
964,5366,23
965,6312,190
966,847,87
967,72,426
968,4297,189
969,6113,68
970,6293,24
971,2832,62
972,2306,186
973,1695,296
974,1811,56
975,625,7
976,4406,78
977,685,14
978,1472,45
979,4053,157
980,6393,52
981,1143,65
982,5015,35
983,4935,400
984,6160,245
985,3408,34
986,5538,339
987,5462,22
988,5839,251
989,1588,50
990,864,77
991,4135,45
992,4357,111
993,2673,25
994,1015,23
995,4544,122
996,5913,33
997,3275,36
998,5379,279
999,3128,63
1000,4358,11
1001,6204,13
1002,2315,366
1003,2023,15
1004,6339,12
1005,1215,261
1006,2256,246
1007,1861,167
1008,923,358
1009,4403,91
1010,3776,58
1011,2418,591
1012,3643,81
1013,754,36
1014,4311,117
1015,2302,219
1016,4521,218
1017,2336,292
1018,4729,100
1019,1758,120
1020,2477,170
1021,830,271
1022,3841,58
1023,1169,47
1024,4920,88
1025,2734,335
1026,4181,71
1027,39,64
1028,3441,77
1029,5227,61
1030,5008,49
1031,1013,170
1032,6286,110
1033,1331,44
1034,3505,90
1035,4230,96
1036,3098,81
1037,5009,172
1038,2504,67
1039,4587,48
1040,6226,43
1041,5272,79
1042,841,52
1043,1072,196
1044,2100,134
1045,3159,267
1046,2915,148
1047,6308,65
1048,367,536
1049,5548,210
1050,5390,217
1051,4275,452
1052,3791,384
1053,5975,129
1054,1194,115
1055,810,578
1056,4387,210
1057,2978,81
1058,3892,285
1059,6501,474
1060,3563,157
1061,6374,194
1062,4400,98
1063,4635,451
1064,4906,152
1065,1722,171
1066,3387,154
1067,306,270
1068,2254,24
1069,6053,40
1070,4684,30
1071,5086,81
1072,6546,29
1073,431,221
